Project,Day,Month,Year,Headline,URL,Source,Country,Language,Format,Format2,IsBroken
OSS,12,5,2014," ""Darpa's super-dexterous robot arm gets FDA approval""",http://www.wired.co.uk/news/archive/2014-05/12/darpa-robotic-limb-fda-approval,Wired,UK,English,Online,,Broken
OSS,16,10,2014,"""Better control over bionics"", Vol. 514, 277",,Nature,International,English,Print,,
OSS,24,10,2014,"""Prosthese sluit naadloos ann""",,Technish Weekblad,Netherlands,Dutch,Print,,
PLP,24,2,2014,"(영상) 의료행위를 위한 게임 활용, 뇌졸중 환자와 사지절단 환자 치료",http://www.thisisgame.com/webzine/news/nboard/4/?n=53676,This Is Game,Korea,Korean,Online,Video/TV,
PLP,11,12,2018,¿Qué causa el dolor fantasma?,https://noticiasdelaciencia.com/art/30938/que-causa-el-dolor-del-miembro-fantasma,NCYT,Spain,Spanish,Online,,
OSS,,,2014,"""Årets bästa 2013 – forskning och teknik i Sverige"", IVA Aktuellt, N. 6, 2013:18-20.",,Ingenjörs Vetenskaps Akademin / The Royal Swedish Academy of Engineering Sciences,Sweden,Swedish,Print,,
OSS,1,2,2015,"""De 10 viktigaste vetenskapliga framstegen från 2014""",,Allt om Vetenskap,Sweden,Swedish,Print,,
OSS,1,2,2013,"""Doctoral Student Develops Mind-Controlled Prosthetic Arm""",,European Medical Device Technology – Breakthroughs,,English,Print,,
OSS,,,2015,"""Prosthesis attached to bone and nerves"", Nr. 3/2015:17.",,Illustreret Videnskab,Denmark,Danish,Print,,
OSS,,,2015,"""Prosthesis attached to bone and nerves"", Nr. 3/2015:17.",,Wetenschap in Beeld,Netherlands,Dutch,Print,,
OSS,,,2015,"""Prosthesis attached to bone and nerves"", Nr. 3/2015:17.",,Science Illustrated (USA),USA,English,Print,,
OSS,,,2015,"""Prosthesis attached to bone and nerves"", Nr. 3/2015:17.",,Science Illustrated (Australia),Australia,English,Print,,
OSS,,,2015,"""Prosthesis attached to bone and nerves"", Nr. 3/2015:17.",,Imeline Teadus,Estonia,Estonian,Print,,
